step,system_mean_speed,system_total_waiting_time,system_total_stopped
0,0.0,0.0,1
1,0.652315455803182,0.0,1
2,1.6498794057173656,0.0,1
3,2.7296037875232284,0.0,1
4,3.8143964459141713,0.0,1
5,4.7534625365476435,0.0,1
6,5.487974942701736,0.0,1
7,6.406646177519477,0.0,1
8,6.657297633581878,0.0,1
9,6.755988524487525,0.0,1
10,7.285456558625083,0.0,1
11,8.038757987861755,0.0,1
12,8.390240836028799,0.0,1
13,8.020158239765632,0.0,1
14,7.489612960084444,0.0,1
15,7.627198216237353,0.0,1
16,8.031127417222185,0.0,1
17,8.461007867134533,0.0,1
18,8.660225923257613,0.0,1
19,8.815032742576443,0.0,1
20,9.046743250156775,0.0,1
21,8.752967805044284,0.0,1
22,8.18049517322393,0.0,1
23,8.232751690604148,0.0,1
24,8.36278238146279,0.0,1
25,8.783304354351523,0.0,1
26,8.811285981316553,0.0,1
27,8.804361393776205,0.0,1
28,8.922786185833546,0.0,1
29,9.02530386057985,0.0,1
30,9.124583165697196,0.0,1
31,9.243949992390114,0.0,1
32,9.759088606527841,0.0,1
33,10.238104750588537,0.0,1
34,10.55580290074812,0.0,1
35,10.364563300882423,0.0,1
36,10.706516899432522,1.0,2
37,10.774214986617748,2.0,2
38,11.060672652029357,3.0,2
39,11.378076052406433,0.0,1
40,11.565554515392783,0.0,1
41,11.61384594239893,0.0,1
42,11.574456286962356,0.0,1
43,11.564833332286078,0.0,1
44,11.264835043596438,0.0,1
45,11.624063928046212,0.0,1
46,11.492259724857831,0.0,1
47,11.716864015538228,0.0,1
48,11.423290362039255,0.0,1
49,10.754527829695123,0.0,1
50,10.925979211499856,0.0,1
51,10.906615375633237,0.0,1
52,11.391921611313714,0.0,1
53,11.847361408049462,0.0,1
54,12.161356443750188,0.0,1
55,12.282006818251585,1.0,2
56,12.319358718878895,2.0,2
57,12.11434002701112,3.0,2
58,12.26703102374027,5.0,3
59,12.344929587645465,5.0,2
60,12.582805746767539,6.0,2
61,12.849584654159404,7.0,2
62,12.998790368713726,8.0,2
63,13.026959312582617,9.0,2
64,13.023323487422706,10.0,2
65,13.114707887391459,11.0,2
66,13.31851779401266,12.0,2
67,13.559170227016853,13.0,2
68,13.735684876404648,14.0,2
69,14.026683512418742,15.0,2
70,14.089694080594468,17.0,3
71,14.174732782842092,19.0,3
72,14.042109405070468,21.0,3
73,13.805247738994892,23.0,3
74,13.74860745006705,26.0,4
75,13.69357474985897,29.0,4
76,13.64088725139349,32.0,4
77,13.504632248908258,35.0,4
78,13.23448043005605,38.0,4
79,13.119571579470596,41.0,4
80,13.074320739604607,44.0,4
81,13.132162647410283,47.0,4
82,13.238667940232704,50.0,4
83,13.120575392225279,53.0,4
84,12.847575167862866,56.0,4
85,12.682535013059463,59.0,4
86,12.627974196175966,62.0,4
87,12.5870020434623,65.0,4
88,12.375982778209021,69.0,5
89,12.352096405582554,74.0,6
90,12.560300660958003,2.0,2
91,12.741977747255795,3.0,2
92,12.911974735563692,4.0,2
93,13.037769438318092,5.0,2
94,13.140167133462688,7.0,3
95,13.01151046328693,9.0,3
96,12.95343526050916,11.0,3
97,13.129502831320645,13.0,3
98,13.18111147329741,15.0,3
99,13.383351093029809,17.0,3
100,13.389613605765051,19.0,3
101,13.554892067872514,21.0,3
102,13.9424197689479,23.0,3
103,14.131566791607213,26.0,4
104,14.464123314988242,30.0,5
105,14.49497789630772,31.0,4
106,14.375775040240866,34.0,4
107,14.180284794564537,37.0,4
108,14.115611383535306,40.0,4
109,14.046925124139792,43.0,4
110,13.964601956762314,46.0,4
111,13.892029789018563,28.0,5
112,13.831235211314668,32.0,5
113,13.854395780009662,36.0,5
114,13.84087590028163,40.0,5
115,13.790801050054139,44.0,5
116,13.67928679650017,48.0,5
117,13.680442951034797,52.0,5
118,13.61600080024102,56.0,5
119,13.592952415270318,60.0,5
120,13.551709962511337,66.0,7
121,13.53937370378784,72.0,7
122,13.513427607135418,78.0,7
123,13.629749629152023,84.0,7
124,13.44330023839506,90.0,7
125,13.218614017050806,96.0,7
126,13.197399152437251,102.0,7
127,13.198872962520198,108.0,7
128,13.134315854066763,115.0,8
129,13.208385781745095,60.0,6
130,13.288085808263142,54.0,5
131,13.536560037409263,58.0,5
132,13.354471744293674,62.0,5
133,13.288211346685074,66.0,5
134,13.254747524432712,70.0,5
135,13.400386063970771,33.0,3
136,13.432912938014335,36.0,4
137,13.565518091519742,39.0,4
138,13.746276329952765,42.0,4
139,13.749791509793988,46.0,5
140,13.528146323960003,51.0,6
141,13.377044736228495,57.0,7
142,13.254402040705953,63.0,7
143,13.073718761765406,69.0,7
144,13.032782885260428,75.0,7
145,12.94350840403128,81.0,7
146,12.785578592168996,92.0,12
147,12.826142199917756,103.0,12
148,12.6513025559183,116.0,14
149,12.458707504465714,129.0,14
150,12.3369989325016,144.0,16
151,12.409118236867407,159.0,16
152,12.515547680493805,169.0,17
153,12.583236500966668,183.0,16
154,12.592912286852131,198.0,16
155,12.641675723384285,214.0,17
156,12.658917946162816,231.0,18
157,12.623933979060872,248.0,18
158,12.490475649386713,265.0,18
159,12.465765238389018,283.0,19
160,12.485193659992609,301.0,19
161,12.470689944175898,319.0,19
162,12.207641785994774,339.0,21
163,12.138578487740446,360.0,22
164,12.05675104867796,381.0,22
165,11.845655962162212,399.0,21
166,11.752288795441181,420.0,22
167,11.85316763375763,441.0,22
168,11.959746346588405,405.0,22
169,12.021660943840448,426.0,22
170,12.075733410379755,447.0,22
171,12.088720991251247,471.0,25
172,12.178749125769263,495.0,25
173,12.172506418568018,519.0,25
174,12.18286781979687,543.0,25
175,12.149077260577592,570.0,28
176,12.096692858250822,600.0,31
177,12.043846515457057,630.0,31
178,11.771958603661618,661.0,32
179,11.754593116259851,680.0,30
180,11.984496264346225,115.0,12
181,12.344604546814399,53.0,7
182,12.762167381064913,54.0,6
183,13.117085874564166,59.0,6
184,13.412489503296127,64.0,6
185,13.620182196781933,71.0,8
186,13.88389876659393,78.0,8
187,14.167084121132124,82.0,7
188,14.441462662489807,88.0,7
189,14.758391995084189,94.0,7
190,15.167516504559753,102.0,9
191,15.382373155651214,108.0,8
192,15.50962849387558,115.0,8
193,15.500870898865212,124.0,10
194,15.39173505871977,134.0,11
195,15.267000024478296,144.0,11
196,15.121705517018215,154.0,11
197,14.8892669485076,166.0,13
198,14.365560542395377,178.0,13
199,14.01728149651549,191.0,14
