step,system_mean_speed,system_total_waiting_time,system_total_stopped
0,0.0,0.0,1
1,9.73686234739486,0.0,0
2,5.8553422312831565,0.0,2
3,6.629964098845901,0.0,1
4,5.989611843753006,0.0,2
5,5.751185038030348,0.0,2
6,5.7739591248339455,0.0,2
7,6.2719129158090725,0.0,2
8,6.317911181443479,0.0,2
9,6.57351855533992,0.0,2
10,8.43756518471948,0.0,1
11,9.044047679750095,0.0,1
12,9.002071545653985,0.0,2
13,9.637840637466805,0.0,1
14,10.110729684945555,0.0,1
15,10.120009818133518,0.0,2
16,10.741628925645855,0.0,1
17,10.778654360991794,0.0,1
18,10.756491748174271,0.0,1
19,10.051626130686923,0.0,2
20,9.717513882692796,0.0,1
21,10.122015806626125,0.0,1
22,10.638818991118754,0.0,1
23,10.568707189782826,1.0,2
24,10.716614667298849,2.0,1
25,10.627928991809751,3.0,2
26,10.822474354534572,4.0,3
27,11.189262211596835,5.0,3
28,11.651465609086888,6.0,2
29,11.844933643483678,7.0,2
30,11.867763056782831,0.0,2
31,11.581769683027996,0.0,2
32,11.146477387827746,0.0,2
33,11.077296603603028,0.0,1
34,11.195117913605369,0.0,2
35,11.211933143248126,0.0,2
36,11.551373880513546,0.0,1
37,11.58873618383475,0.0,2
38,11.627372784526521,0.0,1
39,11.69122849927785,1.0,2
40,11.72974197064822,2.0,3
41,11.687648264372074,3.0,3
42,11.680131275415407,4.0,2
43,11.964256735018578,0.0,1
44,12.066021189659745,0.0,1
45,12.08509967188476,1.0,3
46,12.373621885731637,2.0,2
47,12.421387622804112,3.0,3
48,12.380014102540363,4.0,2
49,12.195869283825047,5.0,3
50,12.208366104225052,6.0,3
51,12.114957901651916,7.0,3
52,12.320347026367118,8.0,1
53,12.496256804075518,9.0,2
54,12.612452420456792,10.0,3
55,12.996358838325342,11.0,1
56,13.261800231839404,12.0,1
57,13.31202224182013,13.0,2
58,13.09149921238037,14.0,3
59,12.821006324828177,15.0,3
60,12.799030206992377,16.0,3
61,12.977989647916882,17.0,2
62,13.218159855907997,18.0,2
63,13.344249342207538,19.0,2
64,13.102069426698483,20.0,3
65,13.083382932369473,21.0,2
66,13.075895988692707,22.0,2
67,13.231969509579919,23.0,2
68,13.184334908082867,24.0,3
69,13.351245056173187,25.0,3
70,13.5180427648558,26.0,3
71,13.555737290914587,27.0,3
72,13.233624892203142,30.0,6
73,13.016647344942829,33.0,4
74,12.964407453727038,36.0,4
75,13.117467321412871,4.0,2
76,13.31677927363955,5.0,2
77,13.6054450022975,6.0,3
78,13.721420552778719,7.0,3
79,13.922158340265147,0.0,1
80,13.914147585232156,0.0,2
81,13.934725796164708,1.0,3
82,14.009244891068493,2.0,2
83,14.196042305510312,3.0,2
84,14.264915550253809,4.0,2
85,14.147960113045379,1.0,2
86,14.157611952023517,2.0,2
87,14.051772087946166,3.0,3
88,14.0971316506655,4.0,2
89,14.371978275259407,5.0,2
90,14.473883140956634,6.0,1
91,14.309253479915919,7.0,3
92,14.198135433439871,0.0,1
93,14.13422260533879,0.0,1
94,14.002879092759448,0.0,1
95,14.022032210476958,1.0,1
96,14.25535767342556,1.0,2
97,14.364303904593307,1.0,2
98,14.470424280693111,2.0,2
99,14.349365410062509,4.0,4
100,14.19493751733675,6.0,4
101,13.921783208466273,8.0,4
102,13.892917953767009,11.0,4
103,13.78636740690959,14.0,5
104,13.667837485233468,18.0,6
105,13.69464751696348,22.0,6
106,13.5964962209319,26.0,6
107,13.56062484195053,28.0,7
108,13.410653541472813,33.0,6
109,13.423746562198096,29.0,6
110,13.455537254298847,31.0,7
111,13.57067140135973,38.0,8
112,13.793731484243432,45.0,8
113,13.834449711284535,53.0,10
114,13.92634449638174,42.0,8
115,13.801313574871116,33.0,6
116,13.700442458173816,31.0,5
117,13.864247018231111,34.0,5
118,14.062692122180373,36.0,5
119,14.294221876860203,31.0,3
120,14.567101569992943,11.0,4
121,14.728450426106594,14.0,4
122,14.887281069351385,18.0,6
123,15.022160592437027,12.0,5
124,14.963512206213819,17.0,7
125,14.913500445818446,13.0,4
126,14.772782921466217,17.0,8
127,14.749477063961637,21.0,5
128,14.677459629359383,27.0,8
129,14.566871604377702,34.0,9
130,14.587207932258957,38.0,7
131,14.603289829590057,44.0,7
