Agent,State,A0,A1
1016184376,0000,-4571.434571987367,-4684.775245327278
1016184376,0001,-3281.8897621275964,-1005.0680801833612
1016184376,0002,-655.8797472168682,-160.19482638888886
1016200794,0000,-8346.81253534081,-7081.368613338238
1016200794,0010,-1679.7350094049752,-465.00152599855073
1016200794,0001,-19485.23480833447,-17551.511184074057
1016200794,0011,-7394.800949311213,-3497.814880384489
1016200794,0012,-4130.3977381938275,-702.6865625
1016200794,0022,-3085.420677949905,-1664.5999843750003
1016200794,0021,-164.12048437500005,-139.87621796875007
1016200794,0002,-1737.4252068010835,-1076.9893252082918
1016200794,1000,-11299.519968010962,-8779.440946656343
1016200794,1001,-813.9626276377932,-863.9202640671472
1016200794,1010,-874.960264067147,-296.75
5237321225,0000,-14551.81264789587,-14817.878458702553
5237321225,0010,-10243.019693816424,-8609.439100685138
5237321225,0020,-5631.356434418149,-3949.7418281211585
5237321225,0120,-2191.7835294936226,-949.6958346003547
5237321225,0100,-4733.320898313577,-2152.5701850461646
5237321225,0110,-6354.113830091739,-3036.3513649195875
5237321225,0030,-1428.5103944592927,-416.10647585220005
5237321225,0210,-646.744024903178,-193.976514440684
5237321225,0200,-1280.4241548752846,-593.2659511033725
9376141054,000,-4183.13371916073,-3449.012234937543
9376141054,100,-4030.1224208688773,-703.2920819261315
9376141054,010,-4596.729962197402,-2284.8823082028193
9376141054,110,-30464.363368974497,-24176.755718959706
9376141054,210,-31868.933879535154,-23668.951023154947
9376141054,220,-39778.02487095859,-30118.950819708523
9376141054,200,-2133.2298172886663,-754.0433068075004
9376141054,120,-7426.064299526732,-3550.060402392165
9376141054,020,-399.29127212607517,-429.0835742195313
GS_cluster_1016191643_1016191860_1016192269_1016198634,000000,-208.51688343297013,-203.16834890444957
GS_cluster_1016191643_1016191860_1016192269_1016198634,001000,-100.66210980024749,-48.40692178745944
GS_cluster_1016191643_1016191860_1016192269_1016198634,000010,-268.29193323488334,-93.25400911523836
GS_cluster_1016191643_1016191860_1016192269_1016198634,010000,-47.64118695813689,-16.092745387202147
GS_cluster_1016191643_1016191860_1016192269_1016198634,000100,-17.989898236153717,0.0
GS_cluster_1016191643_1016191860_1016192269_1016198634,001100,-99.80668648919922,-28.930312227951852
cluster_1016183180_1016185346_1016193503_1016194749,00000000,-2298.003068052438,-2184.156262186799
cluster_1016183180_1016185346_1016193503_1016194749,01000000,-786.9078385987241,-239.80610839698997
cluster_1016183180_1016185346_1016193503_1016194749,00000100,-1282.973264394722,-597.6458371815627
cluster_1016183180_1016185346_1016193503_1016194749,11000000,-870.7344841378613,-335.20081967654215
cluster_1016183180_1016185346_1016193503_1016194749,00001000,-3914.3519845988644,-4177.293004552403
cluster_1016183180_1016185346_1016193503_1016194749,10000000,-379.96477141021967,-113.27064631667557
