Episode,Agent_ID,Reward,Waiting_Time
1,1016184376,-412684.0,412684.0
1,1016200794,-580289.0,580289.0
1,5237321225,-1019565.0,1019565.0
1,9376141054,-12067.0,12067.0
1,GS_cluster_1016191643_1016191860_1016192269_1016198634,-18210.0,18210.0
1,cluster_1016183180_1016185346_1016193503_1016194749,-222959.0,222959.0
1,cluster_1016184252_1016191971,-706288.0,706288.0
1,cluster_1016184655_1016193545_1016201012_9372174241,-27577.0,27577.0
1,cluster_1016184997_1016188102_1016195714_5921483463,-78798.0,78798.0
1,cluster_1016185040_1016195865_9372174234_9372174235,-153772.0,153772.0
1,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-38545.0,38545.0
1,cluster_1016189230_1016195084_5921362584_9371895544,-70349.0,70349.0
1,cluster_1016191702_1016195035,-53462.0,53462.0
1,cluster_1016191801_1016199119,-259135.0,259135.0
1,cluster_1016192514_4084049672_5921362888,-66526.0,66526.0
2,1016184376,-351174.0,351174.0
2,1016200794,-35678.0,35678.0
2,5237321225,-994788.0,994788.0
2,9376141054,-8722.0,8722.0
2,GS_cluster_1016191643_1016191860_1016192269_1016198634,-22906.0,22906.0
2,cluster_1016183180_1016185346_1016193503_1016194749,-267846.0,267846.0
2,cluster_1016184252_1016191971,-546289.0,546289.0
2,cluster_1016184655_1016193545_1016201012_9372174241,-29003.0,29003.0
2,cluster_1016184997_1016188102_1016195714_5921483463,-39036.0,39036.0
2,cluster_1016185040_1016195865_9372174234_9372174235,-244885.0,244885.0
2,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-30616.0,30616.0
2,cluster_1016189230_1016195084_5921362584_9371895544,-28059.0,28059.0
2,cluster_1016191702_1016195035,-74283.0,74283.0
2,cluster_1016191801_1016199119,-208484.0,208484.0
2,cluster_1016192514_4084049672_5921362888,-50838.0,50838.0
3,1016184376,-423628.0,423628.0
3,1016200794,-252418.0,252418.0
3,5237321225,-1213736.0,1213736.0
3,9376141054,-29556.0,29556.0
3,GS_cluster_1016191643_1016191860_1016192269_1016198634,-10537.0,10537.0
3,cluster_1016183180_1016185346_1016193503_1016194749,-200013.0,200013.0
3,cluster_1016184252_1016191971,-660459.0,660459.0
3,cluster_1016184655_1016193545_1016201012_9372174241,-40742.0,40742.0
3,cluster_1016184997_1016188102_1016195714_5921483463,-44238.0,44238.0
3,cluster_1016185040_1016195865_9372174234_9372174235,-235562.0,235562.0
3,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-29348.0,29348.0
3,cluster_1016189230_1016195084_5921362584_9371895544,-34392.0,34392.0
3,cluster_1016191702_1016195035,-56218.0,56218.0
3,cluster_1016191801_1016199119,-242487.0,242487.0
3,cluster_1016192514_4084049672_5921362888,-57702.0,57702.0
4,1016184376,-373857.0,373857.0
4,1016200794,-375191.0,375191.0
4,5237321225,-1154822.0,1154822.0
4,9376141054,-14041.0,14041.0
4,GS_cluster_1016191643_1016191860_1016192269_1016198634,-7997.0,7997.0
4,cluster_1016183180_1016185346_1016193503_1016194749,-186325.0,186325.0
4,cluster_1016184252_1016191971,-705250.0,705250.0
4,cluster_1016184655_1016193545_1016201012_9372174241,-42104.0,42104.0
4,cluster_1016184997_1016188102_1016195714_5921483463,-30567.0,30567.0
4,cluster_1016185040_1016195865_9372174234_9372174235,-223915.0,223915.0
4,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-25708.0,25708.0
4,cluster_1016189230_1016195084_5921362584_9371895544,-25437.0,25437.0
4,cluster_1016191702_1016195035,-56177.0,56177.0
4,cluster_1016191801_1016199119,-323706.0,323706.0
4,cluster_1016192514_4084049672_5921362888,-40645.0,40645.0
5,1016184376,-313500.0,313500.0
5,1016200794,-1382903.0,1382903.0
5,5237321225,-978731.0,978731.0
5,9376141054,-1099161.0,1099161.0
5,GS_cluster_1016191643_1016191860_1016192269_1016198634,-13567.0,13567.0
5,cluster_1016183180_1016185346_1016193503_1016194749,-177055.0,177055.0
5,cluster_1016184252_1016191971,-527920.0,527920.0
5,cluster_1016184655_1016193545_1016201012_9372174241,-35562.0,35562.0
5,cluster_1016184997_1016188102_1016195714_5921483463,-40919.0,40919.0
5,cluster_1016185040_1016195865_9372174234_9372174235,-191852.0,191852.0
5,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-35248.0,35248.0
5,cluster_1016189230_1016195084_5921362584_9371895544,-29350.0,29350.0
5,cluster_1016191702_1016195035,-80787.0,80787.0
5,cluster_1016191801_1016199119,-356140.0,356140.0
5,cluster_1016192514_4084049672_5921362888,-60464.0,60464.0
6,1016184376,-323838.0,323838.0
6,1016200794,-561358.0,561358.0
6,5237321225,-1146675.0,1146675.0
6,9376141054,-188200.0,188200.0
6,GS_cluster_1016191643_1016191860_1016192269_1016198634,-11417.0,11417.0
6,cluster_1016183180_1016185346_1016193503_1016194749,-152771.0,152771.0
6,cluster_1016184252_1016191971,-832294.0,832294.0
6,cluster_1016184655_1016193545_1016201012_9372174241,-31457.0,31457.0
6,cluster_1016184997_1016188102_1016195714_5921483463,-109824.0,109824.0
6,cluster_1016185040_1016195865_9372174234_9372174235,-193593.0,193593.0
6,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-42132.0,42132.0
6,cluster_1016189230_1016195084_5921362584_9371895544,-32955.0,32955.0
6,cluster_1016191702_1016195035,-60229.0,60229.0
6,cluster_1016191801_1016199119,-714509.0,714509.0
6,cluster_1016192514_4084049672_5921362888,-30362.0,30362.0
7,1016184376,-282616.0,282616.0
7,1016200794,-2444585.0,2444585.0
7,5237321225,-1043793.0,1043793.0
7,9376141054,-5780815.0,5780815.0
7,GS_cluster_1016191643_1016191860_1016192269_1016198634,-12018.0,12018.0
7,cluster_1016183180_1016185346_1016193503_1016194749,-216631.0,216631.0
7,cluster_1016184252_1016191971,-390947.0,390947.0
7,cluster_1016184655_1016193545_1016201012_9372174241,-81689.0,81689.0
7,cluster_1016184997_1016188102_1016195714_5921483463,-236935.0,236935.0
7,cluster_1016185040_1016195865_9372174234_9372174235,-82922.0,82922.0
7,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-18168.0,18168.0
7,cluster_1016189230_1016195084_5921362584_9371895544,-25041.0,25041.0
7,cluster_1016191702_1016195035,-73439.0,73439.0
7,cluster_1016191801_1016199119,-924813.0,924813.0
7,cluster_1016192514_4084049672_5921362888,-39044.0,39044.0
8,1016184376,-300379.0,300379.0
8,1016200794,-1160309.0,1160309.0
8,5237321225,-883832.0,883832.0
8,9376141054,-1168424.0,1168424.0
8,GS_cluster_1016191643_1016191860_1016192269_1016198634,-11749.0,11749.0
8,cluster_1016183180_1016185346_1016193503_1016194749,-180308.0,180308.0
8,cluster_1016184252_1016191971,-451547.0,451547.0
8,cluster_1016184655_1016193545_1016201012_9372174241,-29319.0,29319.0
8,cluster_1016184997_1016188102_1016195714_5921483463,-38562.0,38562.0
8,cluster_1016185040_1016195865_9372174234_9372174235,-168640.0,168640.0
8,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-30294.0,30294.0
8,cluster_1016189230_1016195084_5921362584_9371895544,-30756.0,30756.0
8,cluster_1016191702_1016195035,-64244.0,64244.0
8,cluster_1016191801_1016199119,-278371.0,278371.0
8,cluster_1016192514_4084049672_5921362888,-47821.0,47821.0
9,1016184376,-366363.0,366363.0
9,1016200794,-445933.0,445933.0
9,5237321225,-1097417.0,1097417.0
9,9376141054,-14451.0,14451.0
9,GS_cluster_1016191643_1016191860_1016192269_1016198634,-15215.0,15215.0
9,cluster_1016183180_1016185346_1016193503_1016194749,-193258.0,193258.0
9,cluster_1016184252_1016191971,-805255.0,805255.0
9,cluster_1016184655_1016193545_1016201012_9372174241,-31286.0,31286.0
9,cluster_1016184997_1016188102_1016195714_5921483463,-33815.0,33815.0
9,cluster_1016185040_1016195865_9372174234_9372174235,-195418.0,195418.0
9,cluster_1016185522_1016193644_5237321232_5921362889_#1more,-26871.0,26871.0
9,cluster_1016189230_1016195084_5921362584_9371895544,-35319.0,35319.0
9,cluster_1016191702_1016195035,-82653.0,82653.0
