Episode,Total_Reward,Arrived_Vehicles,Avg_Speed,RMS,Epsilon
1,-3720226.0,2,12.69236754569881,960.7158314550865,1.0
2,-2932607.0,3,12.810462762918954,868.5413607258839,1.0
3,-3531036.0,1,12.712395843334821,979.8342309436879,1.0
4,-3585742.0,1,12.821923958960479,992.3458805003313,1.0
5,-5323159.0,3,12.39920489152208,1353.184284583628,1.0
6,-4431614.0,2,12.560418348884498,1178.7984265529135,1.0
7,-11653456.0,0,11.556775676205401,2520.7024386881253,0.98
8,-4844555.0,0,12.485551473091727,1465.323886326738,0.98
9,-3640914.0,0,12.688656927845358,1150.3267047128343,0.98
10,-3529636.0,0,12.606433410747758,1075.4881465343706,0.98
11,-3706417.0,1,12.701356883683017,1117.4947851282152,0.98
12,-3384224.0,0,12.771176560312389,1068.1773230691383,0.98
13,-5514254.0,0,12.513219490788515,1667.6685271284023,0.9603999999999999
14,-5885451.0,3,12.479464492407633,1616.715765431892,0.9603999999999999
15,-3379428.0,1,12.679799055537034,1066.6383462795593,0.9603999999999999
16,-5438256.0,2,12.49488501026621,1506.4137611220215,0.9603999999999999
17,-3365809.0,0,12.797077962960524,1172.7048104472385,0.9603999999999999
18,-3037828.0,3,12.832286234838714,1073.8073947243518,0.9603999999999999
19,-5856915.0,0,12.467656777269351,1719.6218168414598,0.9411919999999999
20,-7091185.0,1,12.086180366473581,1812.1209186642388,0.9411919999999999
