Episode,Global_Utility_Estimate,RMS_Error,Epsilon
1,-64205,12.460718136144642,1.0
2,-65901,16.814031421907682,0.995
3,-70771,19.52384409094769,0.990025
4,-75954,22.495389549027195,0.985074875
5,-65893,19.94850776939409,0.9801495006250001
6,-65102,20.816258961147,0.9752487531218751
7,-65291,20.123914728200777,0.9703725093562657
8,-69397,19.74696895215576,0.9655206468094844
9,-67798,22.505573871587156,0.960693043575437
10,-93330,31.232934669320763,0.9558895783575597
11,-70611,21.640964000771085,0.9511101304657719
12,-66750,21.281482358221584,0.946354579813443
13,-73366,29.798314310782096,0.9416228069143757
14,-64196,27.957578591268007,0.9369146928798039
15,-64243,22.524882225236603,0.9322301194154049
16,-75340,23.492390979168658,0.9275689688183278
17,-67985,22.219690982278877,0.9229311239742362
18,-63179,20.486562506013176,0.918316468354365
19,-77007,30.55933095875263,0.9137248860125932
20,-65337,20.792530003923744,0.9091562615825302
21,-75766,27.772880503933365,0.9046104802746175
22,-73610,26.122693819725267,0.9000874278732445
23,-63472,20.474094234934206,0.8955869907338783
24,-61116,18.448868125910792,0.8911090557802088
25,-66195,18.199975343726333,0.8866535105013078
26,-63259,23.484483564919906,0.8822202429488013
27,-64530,21.56288751593254,0.8778091417340573
28,-68222,18.53196166095484,0.8734200960253871
29,-63405,22.637401364513515,0.8690529955452602
30,-62787,20.671687956100975,0.8647077305675338
31,-71423,24.61422081339466,0.8603841919146962
32,-65962,28.5496973282307,0.8560822709551227
33,-69169,21.697409965573986,0.851801859600347
34,-66451,19.017382992380142,0.8475428503023453
35,-68728,35.58927527526788,0.8433051360508336
36,-68616,30.57235541406369,0.8390886103705794
37,-84668,24.960338144165217,0.8348931673187264
38,-78039,28.792047861351328,0.8307187014821328
39,-67265,19.180136621622946,0.8265651079747222
40,-67264,29.57843867848382,0.8224322824348486
41,-66334,17.90527585192583,0.8183201210226743
42,-62125,19.529974060822866,0.8142285204175609
43,-78172,26.750699065955743,0.810157377815473
44,-77227,31.326175315529287,0.8061065909263957
45,-64455,21.384831757412588,0.8020760579717637
46,-77517,31.659473761275475,0.798065677681905
47,-66363,24.123258154909212,0.7940753492934954
48,-63403,21.027622100224356,0.7901049725470279
49,-70015,18.915378673994265,0.7861544476842928
50,-95048,36.10009446869113,0.7822236754458713
