step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1016184376_stopped,1016184376_accumulated_waiting_time,1016184376_average_speed,1016200794_stopped,1016200794_accumulated_waiting_time,1016200794_average_speed,5237321225_stopped,5237321225_accumulated_waiting_time,5237321225_average_speed,9376141054_stopped,9376141054_accumulated_waiting_time,9376141054_average_speed,GS_cluster_1016191643_1016191860_1016192269_1016198634_stopped,GS_cluster_1016191643_1016191860_1016192269_1016198634_accumulated_waiting_time,GS_cluster_1016191643_1016191860_1016192269_1016198634_average_speed,cluster_1016183180_1016185346_1016193503_1016194749_stopped,cluster_1016183180_1016185346_1016193503_1016194749_accumulated_waiting_time,cluster_1016183180_1016185346_1016193503_1016194749_average_speed,cluster_1016184252_1016191971_stopped,cluster_1016184252_1016191971_accumulated_waiting_time,cluster_1016184252_1016191971_average_speed,cluster_1016184655_1016193545_1016201012_9372174241_stopped,cluster_1016184655_1016193545_1016201012_9372174241_accumulated_waiting_time,cluster_1016184655_1016193545_1016201012_9372174241_average_speed,cluster_1016184997_1016188102_1016195714_5921483463_stopped,cluster_1016184997_1016188102_1016195714_5921483463_accumulated_waiting_time,cluster_1016184997_1016188102_1016195714_5921483463_average_speed,cluster_1016185040_1016195865_9372174234_9372174235_stopped,cluster_1016185040_1016195865_9372174234_9372174235_accumulated_waiting_time,cluster_1016185040_1016195865_9372174234_9372174235_average_speed,cluster_1016185522_1016193644_5237321232_5921362889_#1more_stopped,cluster_1016185522_1016193644_5237321232_5921362889_#1more_accumulated_waiting_time,cluster_1016185522_1016193644_5237321232_5921362889_#1more_average_speed,cluster_1016189230_1016195084_5921362584_9371895544_stopped,cluster_1016189230_1016195084_5921362584_9371895544_accumulated_waiting_time,cluster_1016189230_1016195084_5921362584_9371895544_average_speed,cluster_1016191702_1016195035_stopped,cluster_1016191702_1016195035_accumulated_waiting_time,cluster_1016191702_1016195035_average_speed,cluster_1016191801_1016199119_stopped,cluster_1016191801_1016199119_accumulated_waiting_time,cluster_1016191801_1016199119_average_speed,cluster_1016192514_4084049672_5921362888_stopped,cluster_1016192514_4084049672_5921362888_accumulated_waiting_time,cluster_1016192514_4084049672_5921362888_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,5.9243802002647445,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,8.503679745665965,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,1,0.0,0.0,8.811121972326232,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,1,0.0,0.0,11.146783578030412,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.977113177130339,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
50.0,1,0.0,0.0,11.334719542082665,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6919780515683575,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
60.0,2,3.0,0.05,12.244931271696572,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,9.287932503266273e-06,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0
70.0,2,13.0,0.18571428571428572,13.937895099287958,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5213983482041249,0,0.0,1.0,0,0.0,1.0,1,13.0,0.033188048888291584,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,13.0
80.0,4,40.0,0.5063291139240507,13.445586492186571,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0,0,0.0,1.0,0,0.0,1.0,2,33.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,40.0
90.0,5,72.0,0.8089887640449438,12.356092236910678,0,0.0,1.0,0,0.0,1.0,1,17.0,0.0,0,0.0,1.0,0,0.0,1.0,2,53.0,0.2318287479383755,0,0.0,1.0,0,0.0,0.3637079288607035,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,70.0
100.0,3,14.0,0.14285714285714285,13.322362759601987,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,14.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,14.0
110.0,4,35.0,0.32710280373831774,14.3801477567562,0,0.0,0.9790855587883658,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,35.0,0.0007214375797430693,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6275564884173924,0,0.0,1.0,0,0.0,1.0,3,35.0
120.0,7,71.0,0.6068376068376068,13.481844873372438,1,4.0,0.0,0,0.0,1.0,1,1.0,0.00020253184448012202,0,0.0,1.0,0,0.0,1.0,3,65.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4521561488613356,0,0.0,1.0,1,1.0,0.002475370407167071,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9840028046928571,0,0.0,0.46520985005615323,6,71.0
130.0,7,53.0,0.4274193548387097,12.581070796289705,1,14.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,28.0,0.17457608840646074,0,0.0,0.3038546621775758,0,0.0,1.0,0,0.0,0.47766096505253125,0,0.0,1.0,1,11.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0,6,58.0
140.0,4,47.0,0.35877862595419846,13.170037159108801,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,51.0,0.24374000284456396,0,0.0,0.35445510207362746,0,0.0,1.0,0,0.0,0.23190000477110234,0,0.0,1.0,0,5.0,0.2252444604202194,0,0.0,0.5982305054895376,0,0.0,1.0,0,0.0,0.9790381437824085,0,5.0,0.20080132474648962,3,61.0
150.0,15,135.0,0.9574468085106383,12.15251333884664,0,0.0,1.0,0,0.0,1.0,0,0.0,0.03277246103869867,0,0.0,1.0,0,0.0,1.0,4,83.0,5.675880026478226e-06,2,17.0,0.011277540511994394,0,0.0,1.0,2,9.0,0.00024022172595034418,0,0.0,1.0,2,19.0,3.731129956752397e-05,1,9.0,0.0,1,10.0,0.3270886164177841,0,0.0,1.0,2,17.0,2.8725734569053513e-06,14,164.0
160.0,19,295.0,1.9798657718120805,11.92268774542009,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,0,0.0,1.0,0,0.0,0.19680391106940787,4,123.0,0.19732624422784165,4,55.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,39.0,0.0024466782722048133,1,19.0,0.15917389844004948,4,42.0,0.14429224374238564,0,0.0,1.0,2,37.0,0.0,18,324.0
170.0,24,451.0,2.9096774193548387,12.095588918129376,0,0.0,1.0,0,0.0,1.0,2,25.0,0.0,0,0.0,1.0,1,8.0,0.0,3,104.0,0.21441334630332737,4,95.0,0.03622411742238235,0,0.0,0.6569206388138509,0,0.0,1.0,0,0.0,1.0,3,68.0,0.0,2,37.0,0.0,5,88.0,0.0,0,0.0,0.28521109816992996,2,62.0,0.3722671671686162,22,487.0
180.0,30,685.0,4.2024539877300615,11.693092305998574,0,0.0,1.0,0,0.0,1.0,2,45.0,0.1558920854889889,0,0.0,1.0,0,0.0,1.0,5,151.0,0.08298696224190281,5,143.0,0.0,1,4.0,0.0,0,0.0,1.0,0,0.0,1.0,3,98.0,0.0,3,59.0,0.0002293622362489029,6,130.0,0.0005262075620289887,1,8.0,0.3457625198553085,4,87.0,2.0024936817973832e-05,30,725.0
190.0,8,66.0,0.38596491228070173,13.985004539746457,0,0.0,1.0,0,0.0,1.0,2,33.0,0.0,0,0.0,1.0,0,0.0,0.7951164895808877,3,18.0,0.04783936609405871,0,0.0,0.9845568461008497,0,0.0,1.0,0,0.0,0.9032074443583711,0,0.0,1.0,0,1.0,0.45474788967992824,0,0.0,0.599197647103325,0,0.0,0.6671390990704245,2,15.0,0.0,0,1.0,0.3841633040210712,7,68.0
200.0,15,158.0,0.88268156424581,13.371003356469053,0,0.0,0.536908648600793,0,1.0,0.8163896003451775,2,53.0,0.0,0,0.0,1.0,2,6.0,0.03131739179060425,4,53.0,0.14847869241009132,1,5.0,2.2782841603221788e-05,0,0.0,0.980169470958222,0,0.0,0.5533269030669901,0,0.0,1.0,1,10.0,0.0,1,5.0,0.17629279533253858,0,0.0,0.9877459961870877,2,33.0,0.4192652035742259,0,2.0,0.36541300997032544,13,168.0
210.0,23,341.0,1.8235294117647058,13.513291425758442,1,6.0,1.7616575630338726e-05,3,14.0,9.36365439076899e-05,2,73.0,0.14718258857138392,0,0.0,1.0,4,46.0,0.011160538819226584,6,105.0,0.06599923920486747,1,15.0,0.0,0,0.0,1.0,0,0.0,0.6813437170525176,0,0.0,1.0,1,20.0,0.0,1,15.0,0.0,0,0.0,1.0,2,51.0,0.47580077980997504,1,3.0,0.49916778882876006,22,348.0
220.0,23,361.0,1.8608247422680413,13.37841167893008,1,16.0,0.0,3,44.0,0.0,2,44.0,0.045798293605905906,0,0.0,1.0,0,0.0,1.0,4,73.0,0.16007064439720362,2,30.0,0.3471342127526875,0,0.0,1.0,1,7.0,0.44657748219344945,0,0.0,1.0,1,30.0,0.4784283955201325,2,26.0,0.27059219490713726,0,0.0,1.0,3,74.0,1.9970906505671004e-05,1,13.0,0.378472955452588,20,357.0
230.0,10,120.0,0.594059405940594,12.55081223730343,0,0.0,1.0,0,0.0,1.0,3,72.0,0.25133814102508534,0,0.0,1.0,0,0.0,1.0,2,20.0,0.45096789822315553,0,3.0,0.23423900113406135,1,6.0,0.2348830877656343,0,0.0,1.0,0,0.0,1.0,1,8.0,0.1458848847717369,0,0.0,0.009669480098575796,0,0.0,0.257111091651957,0,0.0,0.5104781538428227,0,5.0,0.3733919178054562,7,114.0
240.0,23,276.0,1.3333333333333333,12.974273690049412,0,0.0,1.0,0,0.0,1.0,5,108.0,0.07300121013927262,0,0.0,1.0,0,1.0,0.2950994348958178,4,48.0,0.010003297160887506,1,10.0,0.013014104171126221,3,30.0,0.13127769279334894,0,0.0,1.0,0,0.0,1.0,3,28.0,0.12922946316689413,1,10.0,0.22043752168910366,1,25.0,0.44701145686652005,1,9.0,0.0,1,9.0,0.3900316974789464,20,278.0
250.0,40,457.0,2.176190476190476,11.626352045040408,1,2.0,0.0006188006148624217,0,0.0,1.0,5,97.0,0.13141727358292601,0,0.0,1.0,0,0.0,1.0,5,97.0,0.14124249989125384,4,35.0,0.000624284500064516,4,63.0,9.41865252760991e-06,0,0.0,0.4657807951410262,2,46.0,0.09262393830195995,4,63.0,5.4265552215388425e-06,2,28.0,0.0,8,79.0,0.0979289177810293,1,19.0,0.0,2,21.0,2.1699614620407717e-05,38,550.0
260.0,49,846.0,3.863013698630137,10.442342356381145,1,12.0,0.0,0,0.0,1.0,6,150.0,0.1351372677527138,0,0.0,1.0,0,0.0,1.0,7,123.0,0.11484153115016285,4,75.0,0.0,4,103.0,0.0,1,5.0,0.12001518849790932,5,91.0,0.0,4,103.0,0.0,2,48.0,0.0,9,163.0,0.006827765143738134,1,29.0,0.0,2,41.0,0.13700135933181895,46,943.0
270.0,55,1336.0,5.937777777777778,10.45928942184103,1,22.0,0.0,0,0.0,1.0,9,221.0,0.00032108488874444297,0,0.0,1.0,0,0.0,1.0,10,213.0,0.003945672477543898,4,115.0,0.0,4,143.0,0.11259489455295002,0,4.0,0.1302787725284697,6,143.0,0.00013757064023534372,4,143.0,0.0,2,68.0,0.33906910550012714,10,261.0,0.0,2,44.0,6.869415329907998e-06,2,61.0,0.0,54,1438.0
280.0,14,151.0,0.6565217391304348,13.405355236556739,1,32.0,0.0,0,1.0,0.5799923095282464,2,53.0,0.13411663018393097,0,0.0,1.0,0,0.0,1.0,5,88.0,0.004089824371004758,0,0.0,1.0,0,0.0,1.0,0,1.0,0.6935279247568333,0,0.0,1.0,0,0.0,0.6767428185944298,2,11.0,0.3690545788157097,0,12.0,0.31401070495038963,0,0.0,0.03821073584990919,0,1.0,0.6862404003235635,10,199.0
290.0,23,300.0,1.2605042016806722,13.26671419247587,1,42.0,0.0,3,16.0,0.3973869386084663,3,68.0,0.08546347953452425,0,0.0,0.9590934064337672,0,0.0,1.0,6,147.0,0.03685207784402079,0,0.0,0.6638591595409736,0,0.0,0.7284397838596073,0,8.0,0.3291011650182384,0,0.0,1.0,0,0.0,0.9811660535733806,2,31.0,0.0,0,0.0,0.9511136368375797,1,10.0,0.265814092280368,0,0.0,0.34146089490099757,16,322.0
300.0,36,549.0,2.240816326530612,13.041357944015301,1,52.0,0.0,7,61.0,0.00011178385185333545,6,107.0,0.06659845576433247,0,0.0,1.0,0,0.0,1.0,8,219.0,0.09552422520552302,1,5.0,1.3845720628792286e-05,0,0.0,1.0,2,14.0,0.45597062756808143,0,0.0,1.0,0,0.0,1.0,2,51.0,0.33326134242630506,0,0.0,0.9871867251518933,1,19.0,0.0,0,0.0,1.0,28,528.0
310.0,36,695.0,2.8137651821862346,12.696548190428043,1,62.0,0.3219572928984565,7,131.0,0.0,7,147.0,0.17350508823879066,0,0.0,1.0,0,0.0,0.3292775093937357,7,185.0,2.0828610483884092e-06,1,16.0,0.3677258534553561,0,0.0,1.0,3,41.0,0.029360970591797583,0,0.0,1.0,0,0.0,1.0,2,71.0,0.11096106923900478,0,0.0,1.0,1,29.0,0.0,0,0.0,1.0,29,682.0
320.0,20,282.0,1.1146245059288538,12.007716680808048,1,12.0,5.784016108095635e-06,0,63.0,0.1498083431754797,9,229.0,0.05659618451223449,0,1.0,0.5799175324570541,0,0.0,1.0,2,31.0,0.0,1,15.0,0.141867775761536,1,1.0,0.2301374692950919,0,23.0,0.13767778875041742,0,0.0,1.0,0,0.0,1.0,1,2.0,0.20034255031139514,0,0.0,0.11985546818721275,1,1.0,0.0030487655708225743,1,1.0,0.5758587338312745,17,379.0
330.0,34,555.0,2.159533073929961,13.09194691281594,1,22.0,0.0,0,0.0,1.0,10,324.0,0.0,1,6.0,0.0,0,0.0,0.5173096645835448,2,51.0,0.32807863026595585,3,33.0,4.39981171177169e-06,3,27.0,0.15236910816765764,0,0.0,0.34348845640281234,0,0.0,1.0,0,9.0,0.4787444014916427,4,37.0,0.18367452095462058,1,19.0,0.5247140406547407,2,31.0,0.21232029267528363,1,11.0,0.0,28,570.0
